iter	Passed	Remaining
0	0	93
1	1	94
2	2	93
3	3	89
4	4	89
5	5	86
6	6	86
7	7	85
8	8	83
9	9	82
10	9	79
11	10	78
12	11	77
13	12	77
14	13	75
15	14	74
16	15	74
17	16	73
18	16	71
19	17	70
20	18	70
21	20	71
22	21	70
23	22	69
24	23	69
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	29	61
32	29	60
33	31	60
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	39	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	47
48	44	46
49	45	45
50	46	44
51	46	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	37
59	54	36
60	55	35
61	56	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	73	17
81	74	16
82	75	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
