iter	Passed	Remaining
0	149	149149
1	150	75333
2	153	50862
3	154	38585
4	156	31148
5	158	26221
6	159	22659
7	161	19989
8	162	17943
9	164	16266
10	165	14909
11	168	13837
12	169	12899
13	171	12101
14	173	11371
15	174	10733
16	175	10172
17	177	9665
18	178	9201
19	179	8775
20	180	8397
21	181	8053
22	182	7744
23	183	7451
24	184	7180
25	185	6931
26	185	6692
27	186	6477
28	187	6268
29	187	6075
30	188	5897
31	189	5724
32	189	5563
33	190	5410
34	190	5265
35	191	5132
36	192	5001
37	192	4878
38	193	4762
39	193	4654
40	194	4548
41	194	4447
42	195	4351
43	196	4266
44	197	4185
45	198	4106
46	198	4026
47	199	3950
48	199	3875
49	200	3804
50	200	3736
51	201	3672
52	201	3608
53	202	3547
54	203	3491
55	203	3436
56	204	3385
57	205	3337
58	206	3288
59	206	3239
60	207	3194
61	208	3150
62	208	3107
63	209	3067
64	210	3028
65	212	3003
66	213	2966
67	213	2927
68	214	2890
69	214	2855
70	215	2822
71	216	2788
72	217	2756
73	217	2724
74	218	2694
75	219	2662
76	219	2632
77	220	2603
78	220	2574
79	221	2547
80	222	2520
81	222	2495
82	223	2465
83	224	2443
84	225	2422
85	226	2401
86	227	2382
87	227	2359
88	228	2339
89	229	2317
90	229	2295
91	230	2275
92	231	2254
93	231	2235
94	232	2214
95	233	2194
96	233	2176
97	234	2157
98	235	2140
99	236	2125
100	236	2109
101	237	2092
102	238	2076
103	239	2060
104	240	2047
105	241	2033
106	242	2021
107	242	2006
108	243	1992
109	244	1977
110	245	1963
111	245	1948
112	246	1934
113	247	1920
114	247	1906
115	248	1893
116	249	1879
117	249	1867
118	250	1853
119	251	1842
120	251	1830
121	252	1817
122	253	1804
123	253	1793
124	254	1781
125	255	1773
126	256	1762
127	257	1754
128	258	1744
129	259	1734
130	259	1724
131	260	1714
132	261	1704
133	262	1695
134	263	1686
135	263	1677
136	264	1668
137	265	1659
138	266	1650
139	267	1642
140	268	1633
141	268	1623
142	269	1615
143	270	1607
144	271	1600
145	272	1595
146	273	1588
147	274	1580
148	275	1572
149	276	1564
150	277	1557
151	277	1550
152	278	1543
153	279	1535
154	280	1528
155	281	1520
156	281	1513
157	282	1507
158	283	1500
159	284	1493
160	285	1486
161	286	1479
162	287	1474
163	288	1468
164	288	1461
165	289	1456
166	290	1449
167	291	1443
168	292	1437
169	293	1432
170	294	1426
171	294	1419
172	295	1413
173	296	1407
174	297	1402
175	298	1396
176	299	1390
177	299	1384
178	300	1380
179	302	1377
180	303	1372
181	304	1367
182	305	1361
183	305	1356
184	306	1351
185	307	1345
186	308	1340
187	309	1334
188	309	1329
189	310	1325
190	311	1321
191	312	1316
192	313	1312
193	314	1307
194	316	1304
195	317	1301
196	318	1297
197	319	1292
198	319	1287
199	320	1282
200	321	1277
201	322	1272
202	322	1267
203	323	1262
204	324	1256
205	324	1252
206	325	1247
207	326	1242
208	327	1237
209	327	1232
210	328	1228
211	329	1223
212	330	1219
213	330	1215
214	331	1212
215	332	1208
216	333	1204
217	334	1199
218	335	1194
219	335	1190
220	336	1185
221	337	1181
222	338	1177
223	338	1174
224	339	1170
225	340	1167
226	341	1163
227	342	1159
228	343	1156
229	344	1153
230	345	1150
231	346	1147
232	347	1145
233	348	1141
234	349	1138
235	350	1134
236	351	1131
237	352	1127
238	353	1124
239	354	1121
240	354	1117
241	355	1114
242	356	1111
243	357	1108
244	358	1104
245	359	1101
246	360	1098
247	361	1096
248	362	1093
249	363	1090
250	364	1087
251	365	1083
252	365	1080
253	366	1077
254	367	1074
255	368	1071
256	369	1067
257	370	1064
258	370	1061
259	371	1058
260	372	1056
261	373	1053
262	374	1049
263	375	1047
264	376	1044
265	377	1041
266	378	1038
267	379	1035
268	380	1032
269	380	1029
270	381	1027
271	382	1024
272	383	1021
273	384	1018
274	385	1016
275	386	1013
276	387	1010
277	388	1007
278	389	1005
279	389	1002
280	390	1000
281	392	998
282	393	996
283	393	993
284	394	990
285	395	988
286	396	985
287	397	983
288	398	981
289	399	978
290	400	976
291	401	973
292	402	970
293	403	968
294	404	965
295	405	963
296	406	961
297	407	959
298	408	957
299	409	954
300	409	951
301	410	949
302	411	946
303	412	944
304	413	941
305	414	939
306	414	936
307	415	934
308	416	931
309	417	929
310	418	926
311	419	924
312	419	921
313	421	919
314	422	918
315	423	916
316	424	914
317	425	912
318	426	910
319	427	907
320	428	905
321	429	903
322	430	901
323	431	899
324	432	897
325	432	895
326	433	893
327	434	890
328	436	889
329	437	888
330	438	886
331	439	884
332	440	882
333	441	880
334	442	878
335	443	876
336	444	874
337	445	872
338	446	870
339	447	868
340	448	866
